user,item
11,8961
11,4886
11,2329
11,34405
11,3949
11,3147
11,7438
11,6350
11,40815
11,48780
14,914
14,1907
14,720
14,2080
14,1029
14,4016
14,661
14,1223
14,531
14,2968
18,72386
18,64622
18,63082
18,61323
18,60950
18,65130
18,69604
18,60943
18,39183
18,55814
25,4878
25,47
25,2329
25,7361
25,1206
25,2997
25,2291
25,46578
25,6874
25,8784
31,70336
31,68358
31,60514
31,74530
31,46335
31,68793
31,7454
31,5882
31,6294
31,72378
35,53996
35,46723
35,48043
35,6709
35,48774
35,48516
35,48394
35,27904
35,33679
35,40278
43,17
43,1197
43,357
43,364
43,4896
43,4993
43,4973
43,8368
43,597
43,8360
50,337
50,4995
50,2324
50,4027
50,778
50,3081
50,509
50,1641
50,4226
50,1732
58,608
58,924
58,3551
58,3730
58,1955
58,1952
58,6787
58,3735
58,1617
58,1245
60,30749
60,30793
60,44709
60,40629
60,31658
60,356
60,41571
60,4973
60,4308
60,46578
61,3556
61,2959
61,5617
61,6188
61,30810
61,45728
61,56367
61,3535
61,4641
61,4979
65,68237
65,4878
65,2571
65,778
65,8914
65,61240
65,55908
65,3949
65,79357
65,2594
72,2470
72,5989
72,3448
72,1732
72,5418
72,2542
72,3421
72,1201
72,5060
72,318
77,4993
77,2571
77,1196
77,1198
77,296
77,1136
77,858
77,593
77,2959
77,1210
82,68157
82,69122
82,72998
82,68237
82,74458
82,72011
82,88129
82,44555
82,82459
82,64839
85,914
85,50872
85,1
85,912
85,1066
85,4857
85,902
85,910
85,40629
85,68954
90,2011
90,2115
90,3408
90,2797
90,2355
90,1393
90,1917
90,2291
90,919
90,1584
91,6218
91,6947
91,4308
91,3148
91,5380
91,40819
91,5013
91,6539
91,40629
91,40278
96,364
96,81845
96,1704
96,78499
96,68157
96,7502
96,80463
96,63082
96,1136
96,110
98,73017
98,4963
98,6539
98,4993
98,7143
98,7153
98,74458
98,91542
98,1527
98,2959
99,69122
99,57669
99,4226
99,1089
99,1732
99,6016
99,48394
99,50
99,59315
99,541
102,903
102,912
102,908
102,1247
102,910
102,899
102,356
102,858
102,904
102,1206
116,4102
116,2060
116,1379
116,1194
116,1753
116,5283
116,5152
116,180
116,5292
116,69
121,2502
121,356
121,4011
121,45728
121,1884
121,1732
121,48385
121,48516
121,223
121,68157
124,1625
124,8798
124,8665
124,1784
124,6942
124,5377
124,4776
124,2692
124,3006
124,6378
129,7451
129,441
129,61024
129,60756
129,4878
129,2959
129,5110
129,8366
129,3949
129,78209
132,2174
132,6620
132,4641
132,8949
132,3160
132,8376
132,235
132,5669
132,30793
132,8784
133,81845
133,63082
133,88810
133,46578
133,63876
133,48394
133,72720
133,74458
133,79242
133,82459
135,6297
135,7263
135,5267
135,6936
135,6753
135,7324
135,2083
135,2398
135,5103
135,6944
136,79091
136,97913
136,97304
136,76093
136,98809
136,88140
136,89492
136,81564
136,104841
136,91542
147,1333
147,471
147,3396
147,3363
147,2161
147,913
147,2947
147,3108
147,745
147,1084
152,45722
152,48385
152,40815
152,46578
152,7147
152,253
152,33166
152,2
152,5816
152,54272
154,52973
154,54503
154,51255
154,51540
154,8949
154,8641
154,46578
154,55820
154,46976
154,36529
155,2959
155,4011
155,1199
155,1136
155,8874
155,32587
155,44191
155,51255
155,46976
155,2997
162,79132
162,3000
162,5971
162,5952
162,70286
162,2959
162,79702
162,1732
162,1291
162,741
163,48516
163,51662
163,49272
163,48394
163,48774
163,60069
163,8665
163,56367
163,3578
163,5418
168,3949
168,2997
168,1199
168,4973
168,2010
168,2571
168,1230
168,48394
168,1251
168,3362
175,1704
175,30749
175,1213
175,527
175,110
175,2329
175,1221
175,1198
175,2918
175,1270
182,79132
182,68157
182,69122
182,64614
182,74458
182,70286
182,51662
182,59369
182,55820
182,49530
189,588
189,1210
189,1198
189,595
189,2571
189,6539
189,593
189,58559
189,592
189,6377
190,5617
190,5377
190,5225
190,3481
190,7323
190,8784
190,8949
190,8873
190,6953
190,7147
201,123
201,27266
201,3503
201,1305
201,1232
201,680
201,1572
201,4973
201,6711
201,4928
204,2571
204,1270
204,4993
204,593
204,2762
204,592
204,2858
204,318
204,364
204,344
205,8638
205,4973
205,215
205,1617
205,3481
205,4226
205,1912
205,912
205,318
205,2858
206,4025
206,1088
206,2424
206,1569
206,33679
206,2273
206,2006
206,3717
206,2724
206,1573
208,102588
208,109374
208,103980
208,2395
208,104339
208,102800
208,608
208,111759
208,102194
208,1189
209,33660
209,80489
209,89864
209,3916
209,88810
209,7263
209,64614
209,80463
209,34162
209,84392
211,1240
211,1198
211,1291
211,1036
211,2716
211,1265
211,165
211,597
211,1527
211,733
213,3408
213,4896
213,4306
213,79132
213,6377
213,3147
213,4014
213,1035
213,337
213,40815
215,79132
215,68237
215,750
215,778
215,68157
215,71535
215,94959
215,1199
215,924
215,99114
218,27831
218,4226
218,4776
218,38061
218,37731
218,7361
218,46578
218,2580
218,40278
218,47610
220,4226
220,4878
220,223
220,1206
220,6
220,541
220,296
220,32
220,1617
220,2959
232,2291
232,1573
232,1653
232,293
232,4886
232,1682
232,4963
232,353
232,1206
232,2700
237,541
237,1617
237,1265
237,1527
237,1197
237,3996
237,1193
237,50
237,1036
237,1961
239,2059
239,5971
239,4039
239,616
239,31658
239,26662
239,597
239,3247
239,1031
239,45517
241,2019
241,27728
241,5690
241,29
241,8253
241,1921
241,4973
241,1201
241,55442
241,2810
248,47
248,858
248,1221
248,4995
248,593
248,92259
248,4993
248,3949
248,7153
248,63082
252,858
252,912
252,750
252,48516
252,1208
252,2186
252,913
252,926
252,1212
252,1217
254,1258
254,1080
254,1214
254,593
254,1732
254,1136
254,2762
254,8874
254,6807
254,6711
258,68358
258,63113
258,60069
258,64983
258,69526
258,68954
258,59369
258,68319
258,61352
258,72998
264,40815
264,8368
264,3967
264,1188
264,6218
264,6385
264,7451
264,40629
264,6539
264,4973
266,40629
266,17
266,914
266,1907
266,3916
266,79132
266,7669
266,74282
266,26528
266,81845
271,27611
271,68358
271,4993
271,34405
271,3275
271,3147
271,7153
271,4878
271,1196
271,60069
279,68954
279,7669
279,79132
279,68135
279,88810
279,2059
279,1968
279,110771
279,70183
279,8362
284,431
284,6
284,1266
284,5418
284,4776
284,1610
284,3147
284,3104
284,4855
284,2401
285,72998
285,2872
285,3967
285,1185
285,1801
285,8368
285,3257
285,2067
285,3827
285,5459
294,2161
294,2002
294,2420
294,58559
294,2717
294,3247
294,3082
294,3300
294,2094
294,2273
304,72998
304,91529
304,54286
304,3147
304,5418
304,81845
304,7153
304,89745
304,59369
304,49530
312,49272
312,648
312,58559
312,54286
312,5418
312,8665
312,5445
312,53972
312,8984
312,780
313,2706
313,2700
313,1573
313,4011
313,2959
313,3793
313,5445
313,6874
313,3977
313,3052
316,589
316,3793
316,8644
316,1198
316,1240
316,1270
316,8360
316,1580
316,8961
316,6365
317,2890
317,6188
317,44199
317,296
317,4776
317,2542
317,34162
317,5010
317,8665
317,27831
318,111759
318,99114
318,79702
318,91529
318,2761
318,68954
318,108932
318,68237
318,109487
318,110102
337,79293
337,36519
337,91630
337,45722
337,86332
337,58998
337,7445
337,60072
337,7346
337,34534
340,8665
340,4963
340,57669
340,47610
340,356
340,4995
340,6874
340,7438
340,79132
340,44191
342,79132
342,91529
342,97921
342,89745
342,109374
342,81845
342,94959
342,97304
342,97938
342,104841
348,1235
348,46976
348,8873
348,899
348,72720
348,6867
348,1197
348,910
348,7096
348,1207
351,296
351,608
351,6711
351,8873
351,2997
351,1222
351,6807
351,778
351,7438
351,29
359,81788
359,66371
359,27741
359,86190
359,31658
359,83369
359,27592
359,44709
359,27397
359,36517
361,589
361,356
361,1240
361,1198
361,1210
361,1270
361,260
361,590
361,364
361,47
367,27831
367,53972
367,2194
